# Z80 opcode table
#  Original data from the FUSE emulator (fuse-emulator.sf.net)
#  Adapted for SPASM by Donald Straney 5/6/2007 with much help from GNU sed

# Column order:
# 1. Opcode
# 2. Args
# 3. Opcode data
# 4. Extra data (optional)
#        If the arguments contain a bit number (^), this is or'ed with
#        the shifted bit number, which is added to the end of the args.
#        Otherwise, this is written after all the other opcode and arg data.

# Special args:
# "" = no args
# * = 16-bit number
# & = 8-bit number
# % = 8-bit address offset
# @ = 8-bit +/- IX/IY offset
# ^ = bit number (0-7)


NOP ""   00
LD SP,HL   F9
LD A,I  57ED
LD A,R  5FED
IN A,(C)  78ED
OUT (C),A  79ED
LD IXH,B  60DD
LD IYH,B  60FD
LD IXH,C  61DD
LD IYH,C  61FD
LD IXH,D  62DD
LD IYH,D  62FD
LD IXH,E  63DD
LD IYH,E  63FD
LD IXH,IXH  64DD
LD IYH,IYH  64FD
LD IXH,IXL  65DD
LD IYH,IYL  65FD
LD H,(IX@)  66DD
LD H,(IY@)  66FD
LD IXH,A  67DD
LD IYH,A  67FD
LD IXL,B  68DD
LD IYL,B  68FD
LD IXL,C  69DD
LD IYL,C  69FD
RST 30H   F7
RET M   F8
JP M,*   FA
JP *   C3
EI ""   FB
CALL M,*   FC
CALL *   CD
CP &   FE
RST 38H   FF
RLC B  00CB
RLC C  01CB
RLC D  02CB
RLC E  03CB
RLC H  04CB
RLC L  05CB
RLC (HL)  06CB
RLC A  07CB
RRC B  08CB
RRC C  09CB
RRC D  0ACB
RRC E  0BCB
RRC H  0CCB
RRC L  0DCB
RRC (HL)  0ECB
RRC A  0FCB
RL B  10CB
RL C  11CB
RL D  12CB
RL E  13CB
RL H  14CB
RL L  15CB
RL (HL)  16CB
RL A  17CB
RR B  18CB
RR C  19CB
RR D  1ACB
RR E  1BCB
RR H  1CCB
RR L  1DCB
RR (HL)  1ECB
RR A  1FCB
SLA B  20CB
SLA C  21CB
SLA D  22CB
SLA E  23CB
SLA H  24CB
SLA L  25CB
SLA (HL)  26CB
SLA A  27CB
SRA B  28CB
SRA C  29CB
SRA D  2ACB
SRA E  2BCB
SRA H  2CCB
SRA L  2DCB
SRA (HL)  2ECB
SRA A  2FCB
SLL B  30CB
SLL C  31CB
SLL D  32CB
SLL E  33CB
SLL H  34CB
SLL L  35CB
SLL (HL)  36CB
SLL A  37CB
SRL B  38CB
SRL C  39CB
SRL D  3ACB
SRL E  3BCB
SRL H  3CCB
SRL L  3DCB
SRL (HL)  3ECB
SRL A  3FCB
BIT ^,B  CB  40
BIT ^,C  CB  41
BIT ^,D  CB  42
BIT ^,E  CB  43
BIT ^,H  CB  44
BIT ^,L  CB  45
BIT ^,(HL)  CB  46
BIT ^,A  CB  47
RES ^,B  CB  80
RES ^,C  CB  81
RES ^,D  CB  82
RES ^,E  CB  83
RES ^,H  CB  84
RES ^,L  CB  85
RES ^,(HL)  CB  86
RES ^,A  CB  87
SET ^,B  CB  C0
SET ^,C  CB  C1
SET ^,D  CB  C2
SET ^,E  CB  C3
SET ^,H  CB  C4
SET ^,L  CB  C5
SET ^,(HL)  CB  C6
SET ^,A  CB  C7
IN B,(C)  40ED
OUT (C),B  41ED
SBC HL,BC  42ED
LD (*),BC  43ED
NEG ""  7CED
RETN ""  7DED
IM 0  6EED
LD I,A  47ED
IN C,(C)  48ED
OUT (C),C  49ED
ADC HL,BC  4AED
LD BC,(*)  4BED
LD R,A  4FED
IN D,(C)  50ED
OUT (C),D  51ED
SBC HL,DE  52ED
LD (*),DE  53ED
IM 1  76ED
IN E,(C)  58ED
OUT (C),E  59ED
ADC HL,DE  5AED
LD DE,(*)  5BED
IM 2  7EED
IN H,(C)  60ED
OUT (C),H  61ED
SBC HL,HL  62ED
LD (*),HL  63ED
RRD ""  67ED
IN L,(C)  68ED
OUT (C),L  69ED
ADC HL,HL  6AED
LD HL,(*)  6BED
RLD ""  6FED
IN F,(C)  70ED
OUT (C),0  71ED
SBC HL,SP  72ED
LD (*),SP  73ED
ADC HL,SP  7AED
LD SP,(*)  7BED
LD HL,*   21
LD BC,*   01
LD DE,*   11
LD IX,*  21DD
LD IY,*  21FD
LD SP,*   31
LDI ""  A0ED
CPI ""  A1ED
INI ""  A2ED
OUTI ""  A3ED
LDD ""  A8ED
CPD ""  A9ED
IND ""  AAED
OUTD ""  ABED
LDIR ""  B0ED
CPIR ""  B1ED
INIR ""  B2ED
OTIR ""  B3ED
LDDR ""  B8ED
CPDR ""  B9ED
INDR ""  BAED
OTDR ""  BBED
RETI ""  4DED
RETN ""  45ED
